text,label
"Breaking: Aliens officially land in NYC, government confirms",fake
Local team wins championship after thrilling final,real
Scientists discover water on Mars using new telescope,real
Click here to claim your $1000 gift card now!,fake
New policy reduces taxes for middle-class families,real
Celebrity endorses miracle cure with no scientific backing,fake
Medical experts approve new vaccine after successful trials,real
Secret documents reveal that the earth is flat,fake
Community garden project feeds hundreds of families,real
Authorities warn about fake charity scams spreading online,fake
